City,Latitude,Longitude
Kathmandu,27.7172,85.3240
Pokhara,28.2669,83.9685
Lalitpur,27.6748,85.3240
Biratnagar,26.4577,87.2694
Bharatpur,27.6842,84.4338
Birgunj,27.0143,84.8760
Butwal,27.7008,83.4486
Dharan,26.8157,87.2827
Hetauda,27.4211,85.0326
Janakpur,26.7271,85.9219
Nepalgunj,28.0512,81.6160
Itahari,26.6646,87.2834
Dhangadhi,28.7095,80.6004
Bhaktapur,27.6719,85.4293
Birendranagar,28.6012,81.6339
Ghorahi,28.1044,82.3809
Dipayal Silgadhi,29.2508,80.5834
Birendranagar,28.5945,81.6223
Damak,26.9653,87.9206
Ilam,26.9116,87.9246
Butwal,27.7025,83.4533
Nawalparasi,27.5980,84.4700
Rajbiraj,26.5329,86.7284
Tulsipur,28.1347,82.2973
